,Model No.,genome,Parameters,Training Accuracy,Validation Accuracy,Test Accuracy
42,43,RC 88 2 swish; NC 96 2 swish ;RC 88 2 swish ;NC 96 2 swish ;FL swish,108954.0,0.9089999794960022,0.9002500176429749,0.8960999846458435
43,44,RC 104 2 relu; NC 24 2 sigmoid ;RC 104 2 relu ;NC 24 2 sigmoid ;FL gelu,32874.0,0.820020854473114,0.8176666498184204,0.807699978351593
44,45,RC 12 2 swish; NC 88 2 relu ;RC 12 2 swish ;NC 88 2 relu ;FL gelu,19266.0,0.8668333292007446,0.8610833287239075,0.8549000024795532
45,46,RC 100 2 gelu; NC 56 2 relu ;RC 100 2 gelu ;NC 56 2 relu ;FL tanh,72210.0,0.9011874794960022,0.8925833106040955,0.8901000022888184
46,47,RC 108 2 relu; NC 16 2 relu ;RC 108 2 relu ;NC 16 2 relu ;FL relu,23154.0,0.8711041808128357,0.8696666955947876,0.8646000027656555
47,48,RC 60 2 swish; NC 112 2 relu ;RC 60 2 swish ;NC 112 2 relu ;FL sigmoid,89106.0,0.8953333497047424,0.890250027179718,0.8860999941825867
48,49,RC 92 2 tanh; NC 124 2 swish ;RC 92 2 tanh ;NC 124 2 swish ;FL relu,146346.0,0.9012916684150696,0.8888333439826965,0.8788999915122986
49,50,RC 8 2 sigmoid; NC 104 2 gelu ;RC 8 2 sigmoid ;NC 104 2 gelu ;FL tanh,17610.0,0.7943750023841858,0.8009999990463257,0.7928000092506409
50,51,RC 100 2 tanh; NC 84 2 sigmoid ;RC 100 2 tanh ;NC 84 2 sigmoid ;FL swish,107658.0,0.8479166626930237,0.8417500257492065,0.832099974155426
51,52,RC 68 2 relu; NC 44 2 relu ;RC 68 2 relu ;NC 44 2 relu ;FL gelu,39930.0,0.8893541693687439,0.8840833306312561,0.8776999711990356
52,53,RC 80 2 relu; NC 40 2 sigmoid ;RC 80 2 relu ;NC 40 2 sigmoid ;FL swish,42234.0,0.815708339214325,0.8134166598320007,0.8070999979972839
53,54,RC 36 2 gelu; NC 4 2 relu ;RC 36 2 gelu ;NC 4 2 relu ;FL gelu,2922.0,0.7729583382606506,0.7707499861717224,0.7603999972343445
54,55,RC 76 2 sigmoid; NC 12 2 tanh ;RC 76 2 sigmoid ;NC 12 2 tanh ;FL sigmoid,12906.0,0.7644583582878113,0.7799166440963745,0.7694000005722046
55,56,RC 124 2 gelu; NC 116 2 relu ;RC 124 2 gelu ;NC 116 2 relu ;FL relu,181722.0,0.9128333330154419,0.9018333554267883,0.8809999823570251
56,57,RC 88 2 sigmoid; NC 92 2 gelu ;RC 88 2 sigmoid ;NC 92 2 gelu ;FL gelu,104466.0,0.8630416393280029,0.8496666550636292,0.8442999720573425
57,58,RC 16 2 sigmoid; NC 120 2 tanh ;RC 16 2 sigmoid ;NC 120 2 tanh ;FL sigmoid,31770.0,0.8022291660308838,0.8049166798591614,0.8001000285148621
58,59,RC 112 2 sigmoid; NC 88 2 tanh ;RC 112 2 sigmoid ;NC 88 2 tanh ;FL swish,125466.0,0.8572916388511658,0.8612499833106995,0.8531000018119812
59,60,RC 108 2 sigmoid; NC 40 2 gelu ;RC 108 2 sigmoid ;NC 40 2 gelu ;FL relu,55842.0,0.8488749861717224,0.856416642665863,0.8496000170707703
60,61,RC 52 2 tanh; NC 124 2 swish ;RC 52 2 tanh ;NC 124 2 swish ;FL relu,86586.0,0.8923958539962769,0.8848333358764648,0.8743000030517578
61,62,RC 52 2 gelu; NC 28 2 sigmoid ;RC 52 2 gelu ;NC 28 2 sigmoid ;FL gelu,20346.0,0.8164791464805603,0.8265833258628845,0.8179000020027161
62,63,RC 80 2 sigmoid; NC 48 2 relu ;RC 80 2 sigmoid ;NC 48 2 relu ;FL swish,50442.0,0.10102083534002304,0.10266666859388351,0.10000000149011612
63,64,RC 44 2 tanh; NC 44 2 tanh ;RC 44 2 tanh ;NC 44 2 tanh ;FL relu,27114.0,0.8810416460037231,0.8758333325386047,0.875
64,65,RC 72 2 swish; NC 84 2 swish ;RC 72 2 swish ;NC 84 2 swish ;FL tanh,79266.0,0.9076458215713501,0.8965833187103271,0.8949000239372253
65,66,RC 24 2 sigmoid; NC 108 2 sigmoid ;RC 24 2 sigmoid ;NC 108 2 sigmoid ;FL relu,39090.0,0.7631666660308838,0.7739166617393494,0.7700999975204468
66,67,RC 8 2 gelu; NC 72 2 relu ;RC 8 2 gelu ;NC 72 2 relu ;FL gelu,12426.0,0.8530833125114441,0.8523333072662354,0.842199981212616
67,68,RC 24 2 swish; NC 84 2 relu ;RC 24 2 swish ;NC 84 2 relu ;FL gelu,30594.0,0.8873124718666077,0.8816666603088379,0.8755000233650208
68,69,RC 4 2 swish; NC 120 2 swish ;RC 4 2 swish ;NC 120 2 swish ;FL swish,14418.0,0.8334791660308838,0.8351666927337646,0.8285999894142151
69,70,RC 112 2 relu; NC 96 2 tanh ;RC 112 2 relu ;NC 96 2 tanh ;FL relu,136746.0,0.8956666588783264,0.8842499852180481,0.8826000094413757
70,71,RC 92 2 swish; NC 36 2 swish ;RC 92 2 swish ;NC 36 2 swish ;FL relu,43386.0,0.8892499804496765,0.8820833563804626,0.8780999779701233
71,72,RC 124 2 swish; NC 64 2 sigmoid ;RC 124 2 swish ;NC 64 2 sigmoid ;FL sigmoid,100914.0,0.8603333234786987,0.8628333210945129,0.8589000105857849
72,73,RC 96 2 sigmoid; NC 52 2 relu ;RC 96 2 sigmoid ;NC 52 2 relu ;FL sigmoid,64626.0,0.8336250185966492,0.8373333215713501,0.8343999981880188
73,74,RC 76 2 swish; NC 56 2 gelu ;RC 76 2 swish ;NC 56 2 gelu ;FL swish,55938.0,0.898562490940094,0.8894166946411133,0.8859999775886536
74,75,RC 4 2 swish; NC 20 2 gelu ;RC 4 2 swish ;NC 20 2 gelu ;FL gelu,3018.0,0.7962499856948853,0.7894166707992554,0.7836999893188477
75,76,RC 92 2 sigmoid; NC 60 2 tanh ;RC 92 2 sigmoid ;NC 60 2 tanh ;FL sigmoid,71466.0,0.8351874947547913,0.8426666855812073,0.8327999711036682
76,77,RC 16 2 sigmoid; NC 88 2 gelu ;RC 16 2 sigmoid ;NC 88 2 gelu ;FL sigmoid,23514.0,0.8027499914169312,0.8079166412353516,0.8051000237464905
77,78,RC 56 2 relu; NC 24 2 relu ;RC 56 2 relu ;NC 24 2 relu ;FL tanh,18762.0,0.8614583611488342,0.8659166693687439,0.8579000234603882
78,79,RC 124 2 gelu; NC 44 2 tanh ;RC 124 2 gelu ;NC 44 2 tanh ;FL relu,69834.0,0.8895416855812073,0.8833333253860474,0.8737000226974487
79,80,RC 48 2 tanh; NC 4 2 sigmoid ;RC 48 2 tanh ;NC 4 2 sigmoid ;FL relu,3570.0,0.6853333115577698,0.6992499828338623,0.6912999749183655
80,81,RC 32 2 tanh; NC 52 2 gelu ;RC 32 2 tanh ;NC 52 2 gelu ;FL gelu,24306.0,0.8712291717529297,0.8700833320617676,0.8636999726295471
81,82,RC 68 2 swish; NC 24 2 sigmoid ;RC 68 2 swish ;NC 24 2 sigmoid ;FL tanh,22290.0,0.8306875228881836,0.8345833420753479,0.83160001039505
